x-axis,1,2
second,Volt,Volt
-25.00000E-09,+4.38124806715E-03,+1.04260357456951E+00
-24.92188E-09,+4.07974053269E-03,+1.05516638850531E+00
-24.84375E-09,+3.77823299823E-03,+1.06772920244111E+00
-24.76563E-09,+3.47672546377E-03,+1.08029201637692E+00
-24.68750E-09,+3.25059481293E-03,+1.09536739309988E+00
-24.60938E-09,+2.94908727847E-03,+1.11044276982284E+00
-24.53125E-09,+2.64757974401E-03,+1.12284854858444E+00
-24.45313E-09,+2.34607220955E-03,+1.13541136252024E+00
-24.37500E-09,+2.11994155870E-03,+1.14797417645605E+00
-24.29688E-09,+1.89381090786E-03,+1.16304955317901E+00
-24.21875E-09,+1.59230337340E-03,+1.17561236711481E+00
-24.14063E-09,+1.36617272256E-03,+1.18817518105061E+00
-24.06250E-09,+1.06466518810E-03,+1.20073799498641E+00
-23.98438E-09,+913.91142087E-06,+1.21330080892221E+00
-23.90625E-09,+687.78077002E-06,+1.22586362285801E+00
-23.82813E-09,+461.65011918E-06,+1.23842643679382E+00
-23.75000E-09,+235.51946833E-06,+1.24847668794246E+00
-23.67188E-09,+84.76570110E-06,+1.26103950187826E+00
-23.59375E-09,-141.36494974E-06,+1.27108975302690E+00
-23.51563E-09,-367.49560059E-06,+1.28114000417554E+00
-23.43750E-09,-593.62625143E-06,+1.29370281811134E+00
-23.35938E-09,-744.38001866E-06,+1.30375306925998E+00
-23.28125E-09,-970.51066950E-06,+1.31129075762146E+00
-23.20313E-09,-1.12126443673E-03,+1.32134100877011E+00
-23.12500E-09,-1.34739508758E-03,+1.33139125991875E+00
-23.04688E-09,-1.57352573842E-03,+1.34144151106739E+00
-22.96875E-09,-1.79965638927E-03,+1.34897919942887E+00
-22.89063E-09,-2.02578704011E-03,+1.35902945057751E+00
-22.81250E-09,-2.32729457457E-03,+1.37159226451331E+00
-22.73438E-09,-2.55342522541E-03,+1.38164251566195E+00
-22.65625E-09,-2.77955587626E-03,+1.38918020402343E+00
-22.57813E-09,-3.08106341072E-03,+1.39923045517207E+00
-22.50000E-09,-3.30719406156E-03,+1.40928070632071E+00
-22.42188E-09,-3.60870159602E-03,+1.41933095746936E+00
-22.34375E-09,-3.91020913048E-03,+1.43189377140516E+00
-22.26563E-09,-4.21171666494E-03,+1.44194402255380E+00
-22.18750E-09,-4.51322419940E-03,+1.45450683648960E+00
-22.10938E-09,-4.89010861747E-03,+1.46706965042540E+00
-22.03125E-09,-5.19161615193E-03,+1.47963246436120E+00
-21.95313E-09,-5.49312368639E-03,+1.49219527829700E+00
